,id,Book_Name,Writer_Name,Category,Rating,Review,Site,sentiment,label,Book_name_without_spaces
0,96523, মুনতাখাব হাদীস   , মাওলানা মোঃ সাখাওয়াত উল্লাহ , হাদিস ও সুন্নাত ,1,"(১) বই টি শত শত  জাল হাদিসে ভরপুর । (২) দ্বীন এর কোন বেপারে দলীল দেয়ার ক্ষেত্রে শুধু 'আল-হাদিস' বলে দলীল দেয়া জায়েজ নয় । হাদিস গ্রন্থের নাম এবং নাম্বার উল্লেখ করতে হবে ।যদি দলীল এর ক্ষেত্রে  শুধু 'আল-হাদিস' বলা হয়, তাহলে তা জাল হতে পারে । যদি হাদিস টি সহি",Rokomari,negative,0,মুনতাখাবহাদীস
1,39118, মেঘাচ্ছন্ন ঈমান (পেপারব্যাক)     , শাইখ আব্দুল মালিক আল কাসিম ," ঈমান, আক্বিদা ও তাওবাহ ",1,"বই রিভিউ : মেঘাচ্ছন্ন ঈমান  পাঠ অনুভূতি: ""একটি ভালো বই পড়া মানে ইতিহাসের সেরা মানুষের সাথে কথা বলা""। বইটার বদৌলতে ইতিহাসের সেরা মানুষের সাথে কথা বলার ন্যায় অনুভূতি পেয়েছি। আত্মউন্নয়নমূলক বইটার মাধ্যমে  অনেক অজানা বিষয় জানার সুযোগ হয়েছে।  ঈমানদারদের স্তর ব",Rokomari,negative,0,মেঘাচ্ছন্নঈমান(পেপারব্যাক)
2,141682, সামষ্টিক অর্থনীতি (পার্স কোর্স দ্বিতীয় বর্ষের-৩য় পত্র (পেপারব্যাক)     , সুকেশ চন্দ্র জোয়ারদার , ডিগ্রি ,1,পড়তে চাই,Rokomari,negative,0,সামষ্টিকঅর্থনীতি(পার্সকোর্সদ্বিতীয়বর্ষের-৩য়পত্র(পেপারব্যাক)
3,136770, ছাত্রলীগের ইতিহাস বাংলাদেশের ইতিহাস (১৯৪৮-১৯৭০ প্রথম খণ্ড ) (হার্ডকভার)     , সাইফুর রহমান সোহাগ , প্রসঙ্গ: বাংলাদেশের রাজনীতি ,1,ঠিক আছে,Rokomari,negative,0,ছাত্রলীগেরইতিহাসবাংলাদেশেরইতিহাস(১৯৪৮-১৯৭০প্রথমখণ্ড)(হার্ডকভার)
4,82740," এসএসসি বিজ্ঞান মেইড ইজি প্রশ্নপত্র, সকল শিক্ষা বোর্ড, পরীক্ষা-২০২০ (পেপারব্যাক)  মেইড ইজি উত্তর পত্র ফ্রি   ", পাঞ্জেরী সম্পাদনা পর্ষদ (সম্পাদক) , নবম ও দশম (এসএসসি): বিজ্ঞান বিভাগ পাঠ্য সহায়িকা ,1,"এটি এসএসসি শিক্ষার্থীর 2020 এর জন্য একটি পরীক্ষার কাগজ। আগের বছর 'পাঞ্জারি' ভাল পারফর্মারদের দেখাতে পারে।তবে এই বছর সেখানে লেখা অনেক খারাপ।যেহেতু আমিও একজন এসএসসি পরীক্ষার্থী, আমি বইয়ের স্টলে গিয়েছিলাম এবং এটি অন্য সংস্থার সাথে তুলনা করে আমি অন্য প্রকাশ",Rokomari,negative,0,"এসএসসিবিজ্ঞানমেইডইজিপ্রশ্নপত্র,সকলশিক্ষাবোর্ড,পরীক্ষা-২০২০(পেপারব্যাক)মেইডইজিউত্তরপত্রফ্রি"
5,15117, সাইমুম সিরিজ ৮ : সিংকিয়াং থেকে ককেশাস (পেপারব্যাক)     , আবুল আসাদ ," শিশু-কিশোর: রহস্য, গোয়েন্দা, ভৌতিক, থ্রিলার ও অ্যাডভেঞ্চার ",1,বিরক্তিকর,Rokomari,negative,0,সাইমুমসিরিজ৮:সিংকিয়াংথেকেককেশাস(পেপারব্যাক)
6,56632, দিওয়ান-ই-শামস্‌ তাবরিজ (হার্ডকভার)     , জালালুদ্দীন রূমী (রহঃ) , আধ্যাত্মিকতা ও সুফিবাদ ,1,"জালাল উদ্দিন রুমি আমাদের অনুকরণীয় আদর্শ নয়, বরং সর্বক্ষেত্রে আমাদের অনুকরণীয় ও অনুস্মরনীয় আদর্শ মুহাম্মাদ (সঃ)। *******সূফীদের  পথটি কি আল্লাহ প্রদত্ত ও রাসুল (সঃ) অনুসৃত পথ ??? আল্লাহ তায়ালা বলেন,اِتَّبِعُوۡا مَاۤ اُنۡزِلَ اِلَیۡکُمۡ مِّنۡ رَّبِّکُمۡ وَ ",Rokomari,negative,0,দিওয়ান-ই-শামস্‌তাবরিজ(হার্ডকভার)
7,4188, ডন কুইক্সোটের অভিযান (পেপারব্যাক)     , মিগুয়েল দে সার্ভেন্টিস ," বয়স যখন ৮-১২: রহস্য, গোয়েন্দা, থ্রিলার ও অ্যাডভেঞ্চার ",1,"বই ডন কুইক্সোট নামক একজন কল্পনাপ্রবন মানুষ সম্পর্কিত। তবে অনুবাদেকের ব্যর্থতা কিংবা গল্প শেষ করার ইচ্ছা, জানিনা, তবে অভিযান হিসেবে গল্পটি উত্তেজনাময় নয় এবং আমাকে অনেকাংশে আশাহত করেছে ।",Rokomari,negative,0,ডনকুইক্সোটেরঅভিযান(পেপারব্যাক)
8,146927, নারী (হার্ডকভার)     , হুমায়ুন আজাদ , নারী ,1,"""বইটার নাম নারী হলেও নারীর মতো উপভোগ্য নয়..হি..হি..হি .....""–হুমায়ুন আজাদ",Rokomari,negative,0,নারী(হার্ডকভার)
9,130633, গুচ্ছ ফাইনাল মডেল টেস্ট (পেপারব্যাক)  গুচ্ছ বিশ্ববিদ্যালয় ভর্তি পরীক্ষায় মানবিক শাখার জন্য একটি চুড়ান্ত মডেল টেস্ট সহায়িকা   , সামী আহম্মেদ পাভেল , মানবিক বিভাগ ভর্তি প্রস্তুতি ,1,"ভুলে ভরা একটি বই, শেষ সময়ের প্রস্তুতিতে বাজে ইফেক্ট ফেলতে পারে এই বই।",Rokomari,negative,0,গুচ্ছফাইনালমডেলটেস্ট(পেপারব্যাক)গুচ্ছবিশ্ববিদ্যালয়ভর্তিপরীক্ষায়মানবিকশাখারজন্যএকটিচুড়ান্তমডেলটেস্টসহায়িকা
